,H,N,SimpleE,SimpleC,delta
0,10.150864934619664,1.7421734422487105,1.9603735325570164,28,6
1,35.45301791271604,5.0,3.8076690829909534,13,4
2,39.689258816867834,5.0,0.6674045790222188,21,6
3,31.429391997400433,5.0,1.8945205523135478,9,4
4,13.330739445195407,5.0,3.6826295304061114,34,6
5,50.29128961868581,1.0,0.0,17,6
6,0.0,5.0,1.1715117324799345,14,2
7,26.726928688010343,2.0,1.4301792776509077,20,4
8,56.39368153653437,1.0,1.8483407912729066,26,4
9,34.751274156374016,5.0,2.6313701499219078,26,4
10,19.643820743421397,5.0,0.003002792846701241,23,2
11,6.75,1.0,0.556286573619557,22,4
12,8.453967000094348,2.666666666666667,3.2326541378393308,14,2
13,54.89805752726801,5.0,1.0488087123106113,13,2
14,66.17041361400251,4.0,0.44667786794155084,20,2
15,26.35431263048322,5.0,0.0,19,6
16,49.88382526138017,5.0,2.367727573702032,19,6
17,38.3665070646824,5.0,1.6903110327185447,22,4
18,54.61442297569053,5.0,2.554630389944248,18,6
19,32.259483076780214,5.0,4.41046137156779,30,4
20,1.0,5.0,0.5212466806441703,18,2
21,2.0,0.0,0.8652674728596363,19,2
22,44.08720582653709,5.0,0.0,26,4
23,36.5062177900249,5.0,5.0,35,6
24,27.612549185246348,5.0,0.0,18,4
25,6.642414827694842,5.0,0.1325031171295484,13,2
26,20.18609832650192,5.0,3.1159583806362408,17,6
27,11.841744081107812,5.0,0.0,37,4
28,53.84548707066192,4.6,0.4296943232039036,27,6
29,30.88733708385595,5.0,0.4097265634704086,34,6
30,45.71231873916821,2.0,0.3633105872777616,15,2
31,33.99455798007036,2.0,0.39612324632653084,29,6
32,0.0,0.0,0.09514037016644285,10,2
33,5.0,5.0,0.8506995777014725,24,2
34,22.91304347826087,0.0,4.287379609836323,18,6
35,32.80219833362352,0.0,1.689073419798284,25,6
36,27.089193012207843,5.0,0.0,11,2
37,39.12016423007939,5.0,0.0,21,4
38,12.881421761232783,5.0,0.024329644141852125,22,6
39,13.097883471014939,5.0,1.9391048743053454,31,6
40,43.606136307557435,5.0,0.1277618958696829,17,2
41,49.479970543216396,5.0,5.0,13,2
42,61.55810988704796,5.0,4.218848304914437,15,2
43,33.75348615623954,5.0,0.9813775961948358,28,6
44,11.561215731813597,5.0,1.0091648865233964,13,2
45,49.209886726731796,5.0,0.0,22,4
46,47.70523674588472,5.0,0.0547420345393026,26,6
47,53.95341626555637,5.0,0.7435097252435416,29,6
48,2.0,5.0,0.0,23,6
49,26.78314550614976,5.0,4.874220345278886,23,6
50,13.312021475215037,5.0,0.0,21,4
51,48.21025726603865,5.0,0.09772703191977955,30,6
52,29.647888782278063,5.0,4.022232332252221,22,4
53,3.0,1.0,0.2790840710223002,17,2
54,40.24271426357542,3.03878795877551,1.4131288654824532,10,4
55,41.18743801932284,5.0,0.7923090445432042,15,4
56,11.077926378064655,0.0,2.5288071952741547,33,6
57,13.63710193586779,5.0,0.0,14,2
58,54.88133354605823,1.0,1.7117745805959326,27,4
59,0.0,5.0,1.5741421389371617,13,2
60,64.09020290143246,3.0,3.8073889277121946,26,4
61,23.205451421997324,2.0,0.9555162893819321,8,4
62,0.0,5.0,3.590866633771801,26,4
63,29.37768653679761,5.0,0.0,26,6
64,22.7322371554865,5.0,3.039967398192857,13,2
65,4.25128246623216,3.5,2.4272055470187497,12,4
66,0.0,5.0,0.408699965076599,15,4
67,6.427809677508408,0.0,0.13546196459783613,22,4
68,53.383100338298235,5.0,0.0,16,4
69,52.04267913435564,5.0,0.0,16,2
70,6.0,5.0,1.6834146986059686,29,4
71,31.90102197325809,1.0,0.4869384487375704,15,4
72,4.0,5.0,0.0,18,4
73,44.957493496294674,2.0,0.946866021482815,25,6
74,44.647361365961586,5.0,2.099586466493123,17,2
75,21.921757811164927,2.0,1.1329596725006417,16,2
76,3.0,5.0,0.7029047738085309,15,6
77,11.0,5.0,0.0,14,6
78,52.29859678747313,3.2857142857142856,1.6242017727979778,16,4
79,0.0,3.0,0.0,17,6
80,26.882746264807714,5.0,0.0,11,2
81,11.4,5.0,0.9178827183071778,25,6
82,52.76786795590104,5.0,0.0,27,4
83,54.114212677004595,5.0,0.904378022334211,17,2
84,20.852460028878905,5.0,0.3994643907073879,9,6
85,55.81695558902111,5.0,1.3445249800368262,15,2
86,4.0,5.0,2.2745805722411703,14,6
87,23.793248704561375,5.0,0.5737938575457409,21,4
88,0.0,4.1376465140077405,0.05670588241385183,22,6
89,4.0,5.0,0.027561079750746537,19,4
90,58.91742072876809,0.0,0.7207473781208855,30,6
91,0.0,5.0,1.371315755959894,16,4
92,6.169715487075996,0.0,1.2458148651213437,24,4
93,53.402062321151774,3.0,1.1207511843640996,13,4
94,25.678768304117735,5.0,4.776489702283347,22,6
95,48.88241179760767,5.0,0.9571185633385224,7,6
96,40.507507840259144,5.0,0.0,20,4
97,50.72472372948192,5.0,0.11997487198748585,25,6
98,1.1329996966939646,5.0,0.385456903437595,33,4
99,33.412445654675174,5.0,0.046813460919016024,12,4
100,1.318087279703577,5.0,1.0792890644312165,13,6
101,14.01346620886465,4.0,0.4271148515046047,32,6
102,4.25,5.0,1.956073458924327,15,4
103,2.0,0.0,2.608354961982894,24,6
104,47.04751386742846,1.0,0.8947599289655752,19,2
105,1.0,0.0,0.6086076910034658,21,6
106,2.0,5.0,0.05637727459517916,20,4
107,31.871856471334368,1.0069186908483108,1.5111405898438757,17,2
108,1.0,5.0,0.0,40,6
109,2.0,5.0,1.7626589519692835,13,2
110,18.682489610143925,5.0,1.0118135547135538,20,2
111,10.327667498720341,5.0,0.0,28,4
112,13.64010366354058,5.0,0.0,24,6
113,8.019637725514329,5.0,0.0,28,4
114,66.70326144937506,5.0,0.0,36,6
115,4.2148896391223625,5.0,0.10524536270340273,17,2
116,4.8100000000000005,5.0,0.751553108460334,17,2
117,6.432718200250077,5.0,2.036264699824961,18,6
118,56.90725194431829,5.0,0.0838210415942311,20,4
119,35.509493779138495,5.0,0.0,15,2
120,30.880275935175856,5.0,0.0,17,2
121,15.166543508018727,5.0,1.311402429648525,10,4
122,2.0,0.0,1.413080717830629,12,2
123,38.354872704719334,0.0,2.445990784301849,6,6
