,H,N,SimpleE,SimpleC,delta
0,16.75,5,0.7860273744865107,14,4
1,30.181645994779398,5,0.0045134129464847106,44,6
2,30.875751416414747,5,0.0,21,4
3,29.781102492638855,5,0.8760483970950127,24,4
4,24.594096844775837,5,0.0,8,4
5,23.723540706325597,5,0.04655867456825355,36,6
6,28.131850178011085,5,1.4525388038817546,27,4
7,30.057381028063098,5,1.3760685338608116,21,4
8,29.312786424510072,5,1.857332023719666,48,6
9,30.72830046877804,5,0.33211440979012424,1,2
10,26.12121212121212,5,0.0,33,6
11,15.5,5,0.7231029117523717,19,6
12,18.916666666666664,5,2.429087788856885,19,4
13,11.0,5,0.3691822666405631,1,2
14,28.832256313925864,5,0.0,19,4
15,30.83379781053374,5,0.269416861674995,16,4
16,30.46845055835814,5,0.9695298806643892,44,6
17,28.89890333436289,5,0.0,32,4
18,19.0,5,0.22745498522183044,2,2
19,25.610134480391743,5,0.0,25,4
20,29.725757575757576,5,0.0,41,6
21,29.26311103589003,5,0.04440872061351031,46,6
22,29.852911171446703,5,0.34376394135624433,1,2
23,19.0,5,0.0,23,4
24,28.594911479040523,5,0.5300750875654003,32,6
25,23.0,5,1.073918031923084,0,2
26,15.0,5,1.8220121126985425,22,4
27,29.431437641364578,5,0.5716657455185299,1,2
28,29.727442694802864,5,0.0,1,2
29,30.802460194074143,5,0.0,9,4
30,29.794555643449918,5,0.7085475233426263,0,2
31,25.554785146530353,5,0.7915856121571915,0,2
32,30.76060031336375,5,0.32823970716670553,38,6
33,28.899768706863377,5,0.0,0,2
34,29.029617218994893,5,0.0,25,6
35,27.79242402431319,5,1.0,34,4
36,21.8,5,3.468417164692449,1,2
37,29.551297329028362,5,1.2241411071216604,30,6
38,14.552809170548743,5,0.7847805622345139,30,6
39,23.498326258612757,5,1.4355791519780916,29,4
40,29.49913818159119,5,0.0,21,4
41,27.608731030782376,5,0.0,25,4
42,26.916666666666664,5,0.0,2,2
43,20.0,5,0.0,0,2
44,29.694434134912463,5,0.3542964878104878,4,2
45,29.0,5,0.765143491957716,0,2
